format,metric,year,number_of_records,value_actual
Download Single,Value (Adjusted),2015,1,1278.449595315
Download Single,Value (Adjusted),2016,1,958.87910313
Download Single,Value (Adjusted),2017,1,707.692711218
Download Single,Value (Adjusted),2018,1,499.316974193
Download Single,Value (Adjusted),2019,1,414.804250982
LP/EP,Value (Adjusted),1973,1,7174.518513514
LP/EP,Value (Adjusted),1974,1,7031.863935091
LP/EP,Value (Adjusted),1975,1,7056.703438662
LP/EP,Value (Adjusted),1976,1,7472.013901582
LP/EP,Value (Adjusted),1977,1,9260.605292079
LP/EP,Value (Adjusted),1978,1,9698.105185583
LP/EP,Value (Adjusted),1979,1,7243.615
LP/EP,Value (Adjusted),1980,1,6825.79368932
LP/EP,Value (Adjusted),1981,1,6586.050570957
LP/EP,Value (Adjusted),1982,1,5100.15845285
LP/EP,Value (Adjusted),1983,1,4335.388283133
LP/EP,Value (Adjusted),1984,1,3810.987118383
LP/EP,Value (Adjusted),1985,1,3042.460859665
LP/EP,Value (Adjusted),1986,1,2292.982034672
LP/EP,Value (Adjusted),1987,1,1784.872946303
LP/EP,Value (Adjusted),1988,1,1150.132336433
LP/EP,Value (Adjusted),1989,1,454.203525
LP/EP,Value (Adjusted),1990,1,169.199162204
LP/EP,Value (Adjusted),1991,1,55.185872247
LP/EP,Value (Adjusted),1992,1,24.59992516
LP/EP,Value (Adjusted),1993,1,18.754077509
LP/EP,Value (Adjusted),1994,1,30.706441296
LP/EP,Value (Adjusted),1995,1,42.106238189
LP/EP,Value (Adjusted),1996,1,59.962891013
LP/EP,Value (Adjusted),1997,1,53.042854206
LP/EP,Value (Adjusted),1998,1,53.327226994
LP/EP,Value (Adjusted),1999,1,48.79887515
LP/EP,Value (Adjusted),2000,1,41.124848432
LP/EP,Value (Adjusted),2001,1,39.5539345
LP/EP,Value (Adjusted),2002,1,29.132676487
LP/EP,Value (Adjusted),2003,1,30.150852717
LP/EP,Value (Adjusted),2004,1,26.120593436
LP/EP,Value (Adjusted),2005,1,18.58847619
LP/EP,Value (Adjusted),2006,1,19.909796131
LP/EP,Value (Adjusted),2007,1,28.24189725
LP/EP,Value (Adjusted),2008,1,67.327217456
LP/EP,Value (Adjusted),2009,1,76.028454765
LP/EP,Value (Adjusted),2010,1,104.229680908
LP/EP,Value (Adjusted),2011,1,135.705439252
LP/EP,Value (Adjusted),2012,1,178.967982236
LP/EP,Value (Adjusted),2013,1,231.274070194
LP/EP,Value (Adjusted),2014,1,263.336179145
LP/EP,Value (Adjusted),2015,1,359.598162864
LP/EP,Value (Adjusted),2016,1,378.607270991
LP/EP,Value (Adjusted),2017,1,405.212077272
LP/EP,Value (Adjusted),2018,1,426.820186646
LP/EP,Value (Adjusted),2019,1,497.588920842
Limited Tier Paid Subscription,Value (Adjusted),1973,1,0
Limited Tier Paid Subscription,Value (Adjusted),1974,1,0
Limited Tier Paid Subscription,Value (Adjusted),1975,1,0
Limited Tier Paid Subscription,Value (Adjusted),1976,1,0
Limited Tier Paid Subscription,Value (Adjusted),1977,1,0
Limited Tier Paid Subscription,Value (Adjusted),1978,1,0
Limited Tier Paid Subscription,Value (Adjusted),1979,1,0
Limited Tier Paid Subscription,Value (Adjusted),1980,1,0
Limited Tier Paid Subscription,Value (Adjusted),1981,1,0
Limited Tier Paid Subscription,Value (Adjusted),1982,1,0
